Condition;Recording;Question;Reponse;Reponse_juste;Frequence mouvements du regard;Time on timer;Time on bonne reponse;Frequence mouvements du regard_9;Looked_Timer;Looked_Bonne_reponse;Time on enonce;Time on reponses;Proportion parcours linéaire;Proportion passage enonce reponse
c2;r4;q10;12;1;2.8479237212110515;0.04385964912280702;0.3932748538011696;2.8479237212110515;1.0;5.0;0.5588235294117647;0.17647058823529413;0.11764705882352941;0.08823529411764706
c2;r6;q2;9;0;5.266666666666667;0.011737089201877934;0.6684272300469484;5.266666666666667;1.0;2.0;0.8598726114649682;0.03821656050955414;0.21019108280254778;0.07006369426751592
c2;r6;q3;11;1;0.2797458823373083;0.06587837837837837;0.4594594594594595;0.2797458823373083;1.0;3.0;0.22580645161290322;0.1935483870967742;0.03225806451612903;0.3870967741935484
c2;r6;q4;12;0;3.033950942590913;0.0;0.16473072861668428;3.033950942590913;0.0;2.0;0.8367346938775511;0.12244897959183673;0.22448979591836735;0.061224489795918366
c2;r6;q5;12;0;3.2740998303260724;0.0;0.8696925329428989;3.2740998303260724;0.0;1.0;0.8421052631578947;0.15789473684210525;0.39473684210526316;0.10526315789473684
c2;r6;q6;10;0;6.182387980201289;0.17075306479859895;0.0;6.182387980201289;1.0;0.0;0.9212598425196851;0.047244094488188976;0.2677165354330709;0.047244094488188976
c2;r6;q7;15;1;3.5768540750842988;0.01312910284463895;0.0;3.5768540750842988;1.5;3.5;0.75;0.10714285714285714;0.26785714285714285;0.07142857142857142
c2;r6;q8;16;0;4.399897000506408;0.0;0.7776152158010241;4.399897000506408;0.5;2.0;0.9142857142857143;0.05714285714285714;0.2857142857142857;0.01904761904761905
c2;r6;q9;15;0;5.5361666696192895;0.0;0.03205128205128205;5.5361666696192895;0.0;2.0;0.8636363636363636;0.13636363636363635;0.22727272727272727;0.06818181818181818
c2;r6;q10;12;1;6.848336003769324;0.0;0.8782608695652174;6.848336003769324;0.0;1.0;0.9272727272727272;0.10909090909090909;0.38181818181818183;0.01818181818181818
c2;r6;q1;0;0;623.8400474118437;0.0;0.0;623.8400474118437;0.0;7.5;0.725;0.075;0.0125;0.075
c3;r7;q1;14;0;0.6854625959011604;0.08651399491094147;0.5661577608142494;0.6854625959011604;2.0;1.0;0.5882352941176471;0.11764705882352941;0.19607843137254902;0.23529411764705882
c3;r7;q2;9;1;3.1847311250938497;0.06575342465753424;0.7534246575342466;3.1847311250938497;1.0;1.5;0.2631578947368421;0.3157894736842105;0.10526315789473684;0.3157894736842105
c3;r7;q3;11;1;3.2175540033049743;0.0;0.8726899383983573;3.2175540033049743;0.0;2.5;0.7547169811320755;0.11320754716981132;0.2641509433962264;0.09433962264150944
c3;r7;q4;12;0;3.3273090435336745;0.02466863033873343;0.2168630338733432;3.3273090435336745;2.0;5.0;0.8376623376623377;0.03896103896103896;0.2792207792207792;0.045454545454545456
c3;r7;q5;13;1;4.3307144215716376;0.0;0.8777555110220441;4.3307144215716376;0.0;2.5;0.6486486486486487;0.16216216216216217;0.24324324324324326;0.10810810810810811
c3;r7;q6;11;0;2.6252735973823054;0.6537524366471735;0.2010233918128655;2.6252735973823054;1.0;8.0;0.7445652173913043;0.03260869565217391;0.16304347826086957;0.13043478260869565
c3;r7;q7;17;0;5.819979874509594;0.5047263134754891;0.0;5.819979874509594;1.0;7.5;0.32666666666666666;0.013333333333333334;0.09777777777777778;0.5244444444444445
c3;r7;q8;15;0;7.047683892412747;0.0;0.04720087815587267;7.047683892412747;0.0;24.0;0.3789954337899543;0.0273972602739726;0.091324200913242;0.2968036529680365
